frame,benchpress_angle,video_name,Feedback
0,139.1744682899141,benchpress_0.mp4,Lower the bar more carefully
1,150.01493243326854,benchpress_0.mp4,Lower the bar more carefully
2,152.3362488497317,benchpress_0.mp4,Lower the bar more carefully
3,153.71197811074902,benchpress_0.mp4,Lower the bar more carefully
4,153.8210174174285,benchpress_0.mp4,Lower the bar more carefully
5,154.2098532439618,benchpress_0.mp4,Lower the bar more carefully
6,153.6970412522561,benchpress_0.mp4,Lower the bar more carefully
7,153.2159378504532,benchpress_0.mp4,Lower the bar more carefully
8,152.88652931273555,benchpress_0.mp4,Lower the bar more carefully
9,152.70338206912078,benchpress_0.mp4,Lower the bar more carefully
10,152.4124645889823,benchpress_0.mp4,Lower the bar more carefully
11,143.6669739568854,benchpress_0.mp4,Lower the bar more carefully
12,139.91972326155553,benchpress_0.mp4,Lower the bar more carefully
13,136.25310167937803,benchpress_0.mp4,Lower the bar more carefully
14,131.0771031914504,benchpress_0.mp4,Lower the bar more carefully
15,127.22968832301616,benchpress_0.mp4,Lower the bar more carefully
16,125.035502736667,benchpress_0.mp4,Lower the bar more carefully
17,121.4128572576258,benchpress_0.mp4,Lower the bar more carefully
18,118.55612088274982,benchpress_0.mp4,Lower the bar more carefully
19,112.29511167624209,benchpress_0.mp4,Lower the bar more carefully
20,111.8972211126488,benchpress_0.mp4,Lower the bar more carefully
21,116.46679992004891,benchpress_0.mp4,Lower the bar more carefully
22,112.6506956522347,benchpress_0.mp4,Lower the bar more carefully
23,107.45645722095333,benchpress_0.mp4,Good posture
24,99.75592187537924,benchpress_0.mp4,Good posture
25,98.40751467003798,benchpress_0.mp4,Good posture
26,93.4042460442684,benchpress_0.mp4,Good posture
27,88.98572552159031,benchpress_0.mp4,Good posture
28,85.29783430276144,benchpress_0.mp4,Good posture
29,81.18201733714699,benchpress_0.mp4,Good posture
30,91.8044749625778,benchpress_0.mp4,Good posture
31,92.86562936177386,benchpress_0.mp4,Good posture
32,95.078252222207,benchpress_0.mp4,Good posture
33,104.81561367445616,benchpress_0.mp4,Good posture
34,109.07715562895112,benchpress_0.mp4,Good posture
35,111.17722031834816,benchpress_0.mp4,Lower the bar more carefully
36,114.97892046455875,benchpress_0.mp4,Lower the bar more carefully
37,117.29911835032917,benchpress_0.mp4,Lower the bar more carefully
38,122.36662409079696,benchpress_0.mp4,Lower the bar more carefully
39,122.58624591910844,benchpress_0.mp4,Lower the bar more carefully
40,124.64918783442612,benchpress_0.mp4,Lower the bar more carefully
41,130.57092025140636,benchpress_0.mp4,Lower the bar more carefully
42,130.1221857474985,benchpress_0.mp4,Lower the bar more carefully
43,129.07447511287552,benchpress_0.mp4,Lower the bar more carefully
44,129.13310258219394,benchpress_0.mp4,Lower the bar more carefully
45,128.1145551806474,benchpress_0.mp4,Lower the bar more carefully
46,127.74726719008646,benchpress_0.mp4,Lower the bar more carefully
47,128.5510360675215,benchpress_0.mp4,Lower the bar more carefully
48,126.29367145115468,benchpress_0.mp4,Lower the bar more carefully
49,126.847234861797,benchpress_0.mp4,Lower the bar more carefully
50,128.25957078002156,benchpress_0.mp4,Lower the bar more carefully
51,122.47840131349584,benchpress_0.mp4,Lower the bar more carefully
52,115.390260856642,benchpress_0.mp4,Lower the bar more carefully
53,108.21577723354352,benchpress_0.mp4,Good posture
54,93.4446483132334,benchpress_0.mp4,Good posture
55,91.8709505621232,benchpress_0.mp4,Good posture
56,96.51497348990368,benchpress_0.mp4,Good posture
57,105.49821691940606,benchpress_0.mp4,Good posture
58,107.67643817788888,benchpress_0.mp4,Good posture
59,108.5380108457463,benchpress_0.mp4,Good posture
60,115.55905179461976,benchpress_0.mp4,Lower the bar more carefully
61,123.56504194717036,benchpress_0.mp4,Lower the bar more carefully
62,136.13520572370385,benchpress_0.mp4,Lower the bar more carefully
63,142.21854985174025,benchpress_0.mp4,Lower the bar more carefully
64,148.90021419286575,benchpress_0.mp4,Lower the bar more carefully
65,152.2846288677195,benchpress_0.mp4,Lower the bar more carefully
66,152.79382419801175,benchpress_0.mp4,Lower the bar more carefully
67,156.27442457444488,benchpress_0.mp4,Lower the bar more carefully
68,157.0023962379643,benchpress_0.mp4,Lower the bar more carefully
